Gap	Count
0	17325563
1	17918863
2	12626818
3	11123419
4	11225437
5	11432238
6	11640298
7	11159681
8	11790750
9	12118393
10	11014159
11	10548764
12	10658966
13	10812027
14	11382408
15	10758790
16	10916378
17	11362386
18	11729711
19	10686440
20	10151493
21	10197355
22	9999755
23	9845934
24	9636428
25	9426949
26	9810701
27	9905493
28	11001674
29	10143000
30	9779097
31	9431245
32	9807370
33	9772019
34	9403857
35	9586153
36	9646515
37	9462637
38	9385060
39	9321327
40	9783814
41	9854054
42	10140475
43	9779838
44	9759268
45	9330364
46	9270790
47	9260367
48	9488725
49	9593915
50	9451913
51	9010085
52	9216709
53	9539015
54	9862592
55	9553293
56	10179793
57	9871833
58	9421483
59	9412351
60	9399991
61	9155978
62	8762877
63	8763471
64	9265394
65	9152259
66	9047855
67	8957639
68	9045306
69	8928444
70	9130206
71	9565487
72	9406478
73	9288762
74	9023933
75	8634929
76	8571633
77	8506137
78	8700376
79	8858676
80	9345052
81	9542365
82	9156722
83	8934465
84	8702206
85	8846153
86	8732757
87	8816876
88	8695924
89	8569185
90	8547350
91	8508215
92	8586968
93	8469046
94	8541955
95	8338945
96	8309520
97	8513207
98	8546152
99	9109791
100	9279378
101	9060992
102	8731181
103	8368340
104	8246153
105	8141889
106	8345258
107	8527374
108	8457114
109	8331736
110	8173064
111	8313994
112	8518278
113	9278625
114	8896222
115	8552584
116	8183029
117	8056963
118	7987022
119	8044073
120	8149436
121	8332513
122	8184665
123	7900781
124	7825203
125	7863450
126	7807713
127	8138625
128	8467169
129	8472542
130	8311462
131	8155375
132	7957239
133	7764306
134	7687601
135	7726254
136	7673657
137	7742374
138	7746590
139	7799112
140	7910712
141	8245775
142	8083826
143	7864804
144	7823666
145	7763756
146	7919820
147	8135442
148	7916526
149	7677257
150	7641355
151	7614408
152	7620309
153	7658739
154	7781603
155	7852348
156	8028241
157	7905970
158	7840016
159	7720815
160	7919790
161	8420840
162	8515622
163	8216703
164	7790539
165	7622598
166	7542607
167	7501650
168	7592496
169	7657544
170	7862986
171	7765921
172	7727517
173	7562380
174	7578215
175	7612717
176	7479142
177	7336249
178	7391154
179	7402757
180	7497991
181	7514895
182	7671091
183	7541453
184	7584485
185	7559155
186	7514007
187	7378866
188	7341563
189	7264058
190	7197878
191	7263891
192	7204998
193	7114628
194	7221342
195	7133082
196	7177549
197	7108069
198	7266624
199	7286105
200	7532963
201	7471702
202	7378502
203	7230518
204	7124656
205	6971091
206	6970260
207	6963583
208	6998366
209	6980832
210	7085685
211	7113708
212	7207648
213	7230744
214	7273970
215	7248617
216	7218803
217	7019166
218	6962335
219	6890762
220	6967009
221	6999974
222	7108935
223	6952171
224	6911740
225	6896267
226	7041320
227	7097484
228	7170020
229	7122240
230	7000419
231	6852207
232	6842389
233	6759470
234	6837725
235	6870859
236	6796443
237	6682919
238	6681849
239	6735891
240	6813674
241	7097262
242	7228228
243	7194985
244	7040519
245	6797654
246	6677925
247	6549289
248	6578617
249	6535383
250	6604062
251	6571843
252	6523558
253	6487974
254	6545175
255	6655892
256	6622897
257	6607395
258	6551933
259	6551095
260	6574378
261	6563156
262	6556568
263	6591399
264	6535535
265	6396416
266	6316110
267	6279749
268	6296212
269	6454431
270	6471033
271	6434806
272	6447203
273	6384030
274	6310507
275	6296823
276	6335967
277	6278921
278	6267037
279	6244118
280	6170332
281	6221426
282	6336134
283	6499535
284	6391661
285	6309715
286	6206878
287	6156157
288	6131144
289	6120811
290	6081498
291	6102600
292	6124560
293	6128658
294	6094647
295	6057113
296	6008117
297	6038798
298	6062663
299	6115575
300	6164427
301	6167762
302	6106674
303	6032432
304	5935108
305	5885423
306	5839758
307	5892437
308	5867174
309	5883556
310	5885507
311	5906305
312	5923728
313	5990241
314	6004719
315	5990454
316	5970994
317	5901993
318	5821536
319	5798404
320	5788557
321	5809652
322	5913571
323	6039512
324	6071591
325	5972169
326	5906594
327	5866925
328	5832014
329	5839775
330	5803875
331	5775897
332	5758289
333	5746464
334	5669092
335	5692728
336	5716754
337	5730002
338	5717230
339	5675465
340	5668594
341	5718816
342	5788750
343	5803795
344	5843325
345	5758369
346	5625457
347	5569799
348	5538648
349	5528435
350	5499292
351	5485526
352	5483962
353	5483806
354	5485527
355	5503644
356	5527820
357	5550500
358	5533278
359	5480423
360	5444546
361	5445157
362	5430376
363	5412360
364	5406715
365	5381020
366	5345561
