Gap	Count
0	9458983
1	9881726
2	7077523
3	6304066
4	6360945
5	6458325
6	6577264
7	6298449
8	6650549
9	6854190
10	6251722
11	5995877
12	6068713
13	6130624
14	6430040
15	6082989
16	6167050
17	6397397
18	6611266
19	6046428
20	5753909
21	5784985
22	5672993
23	5578903
24	5460596
25	5348774
26	5579514
27	5634471
28	6227710
29	5739766
30	5547177
31	5344001
32	5560940
33	5546631
34	5329135
35	5399034
36	5436990
37	5347056
38	5322003
39	5283775
40	5530672
41	5571897
42	5712009
43	5500821
44	5504511
45	5265029
46	5235481
47	5228072
48	5342100
49	5404241
50	5348626
51	5080669
52	5188528
53	5354271
54	5527544
55	5371622
56	5729268
57	5555526
58	5300481
59	5296410
60	5309617
61	5176338
62	4951284
63	4932104
64	5205494
65	5141446
66	5108465
67	5065456
68	5104964
69	5040044
70	5145351
71	5385117
72	5285885
73	5215030
74	5080285
75	4873240
76	4840596
77	4799338
78	4903715
79	4988770
80	5250935
81	5348377
82	5144389
83	5039660
84	4914210
85	4983534
86	4914981
87	4968882
88	4902227
89	4829914
90	4825431
91	4803670
92	4849812
93	4776546
94	4819120
95	4692394
96	4675799
97	4784278
98	4802603
99	5122088
100	5246942
101	5109492
102	4896819
103	4691946
104	4633440
105	4582325
106	4698296
107	4784623
108	4723218
109	4674015
110	4595305
111	4669640
112	4777021
113	5196178
114	4990606
115	4796788
116	4581675
117	4514063
118	4483338
119	4524056
120	4565784
121	4657750
122	4575212
123	4433094
124	4400111
125	4416825
126	4384250
127	4565251
128	4753883
129	4744943
130	4633985
131	4562204
132	4463038
133	4376209
134	4335821
135	4359746
136	4310538
137	4343459
138	4354449
139	4392310
140	4455045
141	4655751
142	4546733
143	4427542
144	4407715
145	4364076
146	4444712
147	4566469
148	4442170
149	4311620
150	4298999
151	4283287
152	4284600
153	4290496
154	4354725
155	4394393
156	4496933
157	4440376
158	4411865
159	4339759
160	4441022
161	4709425
162	4738922
163	4590813
164	4361947
165	4269326
166	4227685
167	4202713
168	4262247
169	4297626
170	4412534
171	4353905
172	4333545
173	4241159
174	4246372
175	4258715
176	4186005
177	4107083
178	4145854
179	4147525
180	4204376
181	4215300
182	4311508
183	4235014
184	4258569
185	4248300
186	4221510
187	4149585
188	4136133
189	4090286
190	4050355
191	4090112
192	4058443
193	4003156
194	4061907
195	4012799
196	4048713
197	4006252
198	4085326
199	4097438
200	4247191
201	4217888
202	4157974
203	4067702
204	4010825
205	3923347
206	3929336
207	3929865
208	3950289
209	3926855
210	3973439
211	3987999
212	4045717
213	4067705
214	4102319
215	4079148
216	4052978
217	3944661
218	3923078
219	3882205
220	3928010
221	3946076
222	4016158
223	3924407
224	3895452
225	3885615
226	3970461
227	3997587
228	4035053
229	3999366
230	3939842
231	3857092
232	3855095
233	3800274
234	3837136
235	3853776
236	3815461
237	3739696
238	3742768
239	3780826
240	3834865
241	4004510
242	4071536
243	4033696
244	3955350
245	3828111
246	3752067
247	3674538
248	3691949
249	3672577
250	3715865
251	3685636
252	3664970
253	3645009
254	3678442
255	3741375
256	3719727
257	3711308
258	3682523
259	3674612
260	3687368
261	3691622
262	3683127
263	3701242
264	3661684
265	3580185
266	3544724
267	3531488
268	3535618
269	3616785
270	3635543
271	3616477
272	3636530
273	3596562
274	3544804
275	3535858
276	3562971
277	3528343
278	3520868
279	3508381
280	3473064
281	3502958
282	3566828
283	3651635
284	3591105
285	3547381
286	3489830
287	3463150
288	3458639
289	3455443
290	3430932
291	3434707
292	3443055
293	3447107
294	3445142
295	3424524
296	3394749
297	3411068
298	3428411
299	3466997
300	3493720
301	3489150
302	3452551
303	3403968
304	3352327
305	3323071
306	3293356
307	3317324
308	3298808
309	3311780
310	3312996
311	3327399
312	3339043
313	3381389
314	3386621
315	3375670
316	3364509
317	3327038
318	3281795
319	3263473
320	3260703
321	3270901
322	3333452
323	3396898
324	3407700
325	3359062
326	3327326
327	3305573
328	3282081
329	3283515
330	3254988
331	3245272
332	3244469
333	3247242
334	3201676
335	3214014
336	3222064
337	3222553
338	3208388
339	3187443
340	3191116
341	3225729
342	3259599
343	3266995
344	3291718
345	3240040
346	3159355
347	3133759
348	3121155
349	3117934
350	3094432
351	3080143
352	3081602
353	3092205
354	3093861
355	3100651
356	3103814
357	3112672
358	3101820
359	3075534
360	3061715
361	3069267
362	3058322
363	3046851
364	3033683
365	3014919
366	2995390
