Gap	Count
2.0	20366394
0.0	28474663
3.0	17598671
4.0	17648306
5.0	18002797
6.0	18366927
7.0	17734521
8.0	18681982
9.0	19070546
10.0	17329261
11.0	16578816
12.0	16635455
13.0	16928988
14.0	17770156
15.0	16958450
16.0	17171044
17.0	17866685
18.0	18467172
19.0	16820486
20.0	15959519
21.0	15965837
22.0	15661955
23.0	15361361
24.0	14963527
25.0	14648121
26.0	15150247
27.0	15321358
28.0	16928293
29.0	15746402
30.0	15187130
31.0	14605677
33.0	15030623
32.0	15068648
34.0	14550083
35.0	14877439
37.0	14660929
36.0	15007864
38.0	14464693
39.0	14413854
40.0	15110367
41.0	15251082
42.0	15607763
43.0	15129356
45.0	14412082
44.0	15081775
47.0	14276753
46.0	14288431
48.0	14645676
49.0	14780320
50.0	14566884
51.0	13959354
52.0	14348264
53.0	15027988
54.0	15576606
55.0	14918077
56.0	15647035
57.0	15200817
59.0	14684076
58.0	14598905
60.0	14636297
61.0	14193606
63.0	13542461
62.0	13542873
65.0	14124291
66.0	13988138
67.0	13852693
64.0	14254696
68.0	13921356
69.0	13733681
70.0	14051585
71.0	14775765
74.0	13937595
75.0	13301991
72.0	14612492
73.0	14393922
76.0	13130472
77.0	13073483
78.0	13443294
79.0	13816148
81.0	15095223
82.0	14342092
83.0	13838173
80.0	14684900
84.0	13402661
85.0	13548277
86.0	13383323
87.0	13556638
88.0	13429631
89.0	13297811
91.0	13135909
90.0	13226785
92.0	13182662
94.0	13128831
95.0	12831101
93.0	13034805
96.0	12784551
97.0	13086930
99.0	14011499
98.0	13156756
103.0	12995521
101.0	14112567
102.0	13620761
100.0	14353008
104.0	12720741
105.0	12578857
106.0	12937101
107.0	13340603
108.0	13300803
109.0	13022543
110.0	12687524
111.0	12826870
112.0	13105281
113.0	14234317
114.0	13685086
115.0	13191555
117.0	12431162
118.0	12303293
116.0	12616088
119.0	12361182
120.0	12545844
121.0	12872772
122.0	12657167
123.0	12188131
124.0	12044157
125.0	12088491
126.0	12004929
127.0	12496419
128.0	12966595
129.0	12986143
132.0	12264322
135.0	11849769
130.0	12743277
131.0	12538584
133.0	11988145
134.0	11841559
136.0	11754135
137.0	11874260
138.0	11902264
139.0	11994902
140.0	12185050
141.0	12699947
142.0	12455500
143.0	12150906
144.0	12082724
145.0	12003227
146.0	12240513
147.0	12529274
149.0	11859293
150.0	11823920
148.0	12207745
151.0	11792763
153.0	11932557
154.0	12119234
155.0	12220682
156.0	12449670
157.0	12260270
158.0	12150636
159.0	12029608
152.0	11826857
160.0	12494088
161.0	13486376
162.0	13746277
163.0	13102374
164.0	12252367
165.0	11881987
167.0	11664914
166.0	11728001
168.0	11794936
169.0	11937453
171.0	12105109
172.0	12012478
173.0	11743750
174.0	11778310
170.0	12256082
175.0	11833086
179.0	11462308
180.0	11617694
181.0	11669900
182.0	11925827
183.0	11732349
178.0	11456696
176.0	11626803
177.0	11391446
184.0	11728396
189.0	11189776
185.0	11657319
186.0	11583936
187.0	11393883
190.0	11096791
188.0	11313033
191.0	11213729
194.0	11087338
195.0	10963663
196.0	11026106
197.0	10940115
198.0	11196372
199.0	11235950
192.0	11087813
193.0	10928655
200.0	11630302
201.0	11540337
202.0	11393456
203.0	11197701
204.0	11029867
205.0	10808063
207.0	10759913
206.0	10775422
208.0	10768186
211.0	11001248
