Gap	Count
2.0	22219055
0.0	31727589
3.0	18923962
4.0	18932314
5.0	19346064
6.0	19757302
7.0	19139019
8.0	20175839
9.0	20557672
10.0	18654793
11.0	17836081
12.0	17855082
13.0	18179328
14.0	19064762
15.0	18297131
16.0	18610140
17.0	19464557
18.0	20156276
19.0	18246889
20.0	17228908
21.0	17165537
22.0	16819906
23.0	16485342
24.0	16017617
25.0	15683262
26.0	16198676
27.0	16409914
28.0	18121783
29.0	16898835
30.0	16284063
31.0	15619284
33.0	16018792
32.0	16060370
34.0	15572021
35.0	15993503
37.0	15714198
36.0	16156896
38.0	15427399
39.0	15368231
40.0	16109929
41.0	16282614
42.0	16654821
43.0	16160862
45.0	15398551
44.0	16120468
47.0	15209031
46.0	15240817
48.0	15603195
49.0	15724189
50.0	15476058
51.0	14872979
52.0	15325098
53.0	16132979
54.0	16740662
55.0	15941400
56.0	16618035
57.0	16175614
59.0	15728688
58.0	15580774
60.0	15656804
61.0	15124927
63.0	14401126
62.0	14405713
65.0	15006179
66.0	14861464
67.0	14721848
64.0	15148586
68.0	14784255
69.0	14583591
70.0	14939373
71.0	15749438
74.0	14835858
75.0	14134834
72.0	15604980
73.0	15372296
76.0	13938409
77.0	13904095
78.0	14308000
79.0	14733521
81.0	16204779
82.0	15331340
83.0	14736205
80.0	15725656
84.0	14238197
85.0	14375285
86.0	14205993
87.0	14412187
88.0	14316957
89.0	14201612
91.0	13964134
90.0	14089827
92.0	13998827
94.0	13934755
95.0	13619050
93.0	13854430
96.0	13563738
97.0	13880267
99.0	14865613
98.0	13957272
103.0	13850685
101.0	15086750
102.0	14568840
100.0	15263081
104.0	13506272
105.0	13353533
106.0	13751384
107.0	14230650
108.0	14214055
109.0	13882887
110.0	13499286
111.0	13631652
112.0	13913774
113.0	15097300
114.0	14526135
115.0	14002988
117.0	13204096
118.0	13069103
116.0	13398736
119.0	13128199
120.0	13329267
121.0	13672586
122.0	13435068
123.0	12930059
124.0	12779338
125.0	12835136
126.0	12754532
127.0	13269508
128.0	13778999
129.0	13818587
132.0	13029820
135.0	12585567
130.0	13546378
131.0	13328613
133.0	12739927
134.0	12581041
136.0	12485095
137.0	12616000
138.0	12640014
139.0	12730588
140.0	12931047
141.0	13471130
142.0	13230221
143.0	12930725
144.0	12851555
145.0	12770397
146.0	13014969
147.0	13311903
149.0	12610933
150.0	12563289
148.0	12970151
151.0	12530052
153.0	12713220
154.0	12909933
155.0	13007476
156.0	13238090
157.0	13032615
158.0	12903966
159.0	12785164
152.0	12575477
160.0	13318426
161.0	14470325
162.0	14797883
163.0	14022417
164.0	13041300
165.0	12615233
167.0	12383009
166.0	12438695
168.0	12515154
169.0	12682123
171.0	12864096
172.0	12755130
173.0	12481044
174.0	12518409
170.0	13028430
175.0	12575959
179.0	12159488
180.0	12332698
181.0	12409518
182.0	12699261
183.0	12503523
178.0	12149407
176.0	12348446
177.0	12087932
184.0	12479851
189.0	11886597
185.0	12401933
186.0	12308901
187.0	12102709
190.0	11801291
188.0	12005786
191.0	11926460
194.0	11760431
195.0	11631229
196.0	11693499
197.0	11613719
198.0	11890801
199.0	11936940
192.0	11782842
193.0	11605548
200.0	12352105
201.0	12268785
202.0	12133699
203.0	11948947
204.0	11747194
205.0	11499129
207.0	11432584
206.0	11450436
208.0	11436800
211.0	11700216
212.0	11839621
213.0	11884380
214.0	12002701
215.0	12013670
209.0	11447827
210.0	11643404
216.0	12027877
217.0	11648763
218.0	11489191
219.0	11406779
220.0	11531577
221.0	11620267
222.0	11759928
223.0	11490087
225.0	11388614
226.0	11596564
227.0	11695416
229.0	11799791
230.0	11601540
231.0	11339433
228.0	11859516
224.0	11408970
233.0	11242839
234.0	11393621
235.0	11464319
236.0	11292925
237.0	11088590
232.0	11321704
238.0	11057126
239.0	11150705
244.0	11852136
246.0	11094882
247.0	10850248
245.0	11363603
240.0	11313503
242.0	12162741
243.0	12196317
241.0	11827288
251.0	10957504
248.0	10854440
249.0	10802634
255.0	11100226
253.0	10808088
254.0	10913018
252.0	10861591
250.0	10962022
257.0	11014442
263.0	11104751
262.0	10963134
260.0	10898740
261.0	10916334
269.0	10791814
268.0	10482638
258.0	10885988
259.0	10883139
270.0	10850209
271.0	10806370
256.0	11053841
264.0	11031621
267.0	10443629
266.0	10544689
265.0	10756765
285.0	10499524
274.0	10508183
287.0	10203391
273.0	10651541
275.0	10479088
284.0	10642946
272.0	10786488
279.0	10357041
278.0	10393326
277.0	10420437
276.0	10523265
280.0	10240925
281.0	10313181
282.0	10491242
283.0	10804469
286.0	10300173
289.0	10096179
288.0	10142275
291.0	10073358
292.0	10125542
294.0	10055651
293.0	10115450
290.0	10025585
298.0	10007631
299.0	10108551
297.0	9974848
296.0	9931358
303.0	9993369
302.0	10115249
300.0	10198627
301.0	10216134
295.0	10009222
305.0	9781238
306.0	9732568
309.0	9843119
310.0	9828083
307.0	9826563
308.0	9810270
318.0	9770266
316.0	10041067
317.0	9912545
312.0	9869584
315.0	10065136
314.0	10045953
313.0	9995517
319.0	9706566
311.0	9855237
304.0	9845648
322.0	10001762
327.0	9902200
323.0	10319158
334.0	9521696
333.0	9667097
332.0	9702303
324.0	10437384
326.0	10011044
325.0	10206780
320.0	9681552
331.0	9724352
330.0	9766618
328.0	9833350
329.0	9827848
335.0	9568797
321.0	9743646
338.0	9624812
347.0	9369213
346.0	9533793
345.0	9800697
343.0	9792354
336.0	9642978
337.0	9676625
339.0	9525169
340.0	9507434
341.0	9588413
342.0	9725309
351.0	9179757
344.0	9921142
349.0	9231339
350.0	9187713
348.0	9271039
355.0	9216964
361.0	9130779
354.0	9212651
352.0	9204406
353.0	9225227
359.0	9165733
358.0	9233064
357.0	9271728
356.0	9248904
363.0	9090879
362.0	9117274
364.0	9086236
365.0	9071363
366.0	9010921
360.0	9131067
1.0	32428936
