Gap	Count	Annotation							
4.85	28358	NA	FALSE						
4.875	32433	NA	FALSE						
4.9	55063	NA	FALSE						
4.925	63834	NA	TRUE						
4.95	131914	NA	TRUE						
4.975	210898	NA	TRUE						
5	507718	NA	TRUE						
5.025	259868	NA	TRUE						
5.05	123598	NA	TRUE						
5.075	81574	NA	TRUE						
5.1	42255	NA	FALSE						
5.125	31988	NA	FALSE						
5.15	29224	NA	FALSE						
5.175	32003	NA	FALSE						
5.2	25237	NA	FALSE						
5.225	23095	NA	FALSE						
5.25	60234	NA	TRUE						
5.275	32867	NA	FALSE						
5.3	35062	NA	FALSE						
5.325	133063	NA	TRUE						
5.35	137562	NA	TRUE						
5.375	33936	NA	FALSE						
5.4	32962	NA	FALSE						
5.425	36574	NA	FALSE						
5.45	54429	NA	FALSE						
5.475	105144	NA	TRUE						
5.5	210238	NA	TRUE						
5.525	113393	NA	TRUE						
5.55	60534	NA	TRUE						
5.575	38511	NA	FALSE						
5.6	34691	NA	FALSE						
5.625	28952	NA	FALSE						
5.65	65793	NA	TRUE						
5.675	231779	NA	TRUE						
5.7	45011	NA	FALSE						
5.725	28784	NA	FALSE						
5.75	52706	NA	FALSE						
5.775	26232	NA	FALSE						
5.8	23991	NA	FALSE						
5.825	32809	NA	FALSE						
5.85	30584	NA	FALSE						
5.875	29618	NA	FALSE						
5.9	36303	NA	FALSE						
5.925	68854	NA	TRUE						
5.95	127958	NA	TRUE						
5.975	230587	NA	TRUE						
6	602317	NA	TRUE						
6.025	266843	NA	TRUE						
6.05	150912	NA	TRUE						
6.075	74473	NA	TRUE						
6.1	42040	NA	FALSE						
6.125	26482	NA	FALSE						
6.15	29847	NA	FALSE						
6.175	30668	NA	FALSE						
6.2	24796	NA	FALSE						
6.225	22513	NA	FALSE						
6.25	53138	NA	FALSE						
6.275	30165	NA	FALSE						
6.3	35445	NA	FALSE						
6.325	131650	NA	TRUE						
6.35	157312	NA	TRUE						
6.375	35233	NA	FALSE						
6.4	31116	NA	FALSE						
6.425	36576	NA	FALSE						
6.45	50792	NA	FALSE						
6.475	96010	NA	TRUE						
6.5	228893	NA	TRUE						
6.525	123007	NA	TRUE						
6.55	60250	NA	TRUE						
6.575	38527	NA	FALSE						
6.6	32912	NA	FALSE						
6.625	29551	NA	FALSE						
6.65	64522	NA	TRUE						
6.675	174140	NA	TRUE						
6.7	45178	NA	FALSE						
6.725	28087	NA	FALSE						
6.75	57473	NA	FALSE						
6.775	23940	NA	FALSE						
6.8	23070	NA	FALSE						
6.825	30469	NA	FALSE						
6.85	31953	NA	FALSE						
6.875	29183	NA	FALSE						
6.9	35479	NA	FALSE						
6.925	71903	NA	TRUE						
6.95	112055	NA	TRUE						
6.975	256240	NA	TRUE						
7	505863	NA	TRUE						
7.025	244553	NA	TRUE						
7.05	174741	NA	TRUE						
7.075	76375	NA	TRUE						
7.1	48711	NA	FALSE						
7.125	31501	NA	FALSE						
7.15	27072	NA	FALSE						
7.175	32559	NA	FALSE						
7.2	24308	NA	FALSE						
7.225	21271	NA	FALSE						
7.25	54312	NA	FALSE						
7.275	29132	NA	FALSE						
7.3	35909	NA	FALSE						
7.325	88547	NA	TRUE						
7.35	91854	NA	TRUE						
7.375	38134	NA	FALSE						
7.4	28736	NA	FALSE						
7.425	34102	NA	FALSE						
7.45	48295	NA	FALSE						
7.475	94077	NA	TRUE						
7.5	281599	NA	TRUE						
7.525	140819	NA	TRUE						
7.55	59026	NA	TRUE						
7.575	39178	NA	FALSE						
7.6	32063	NA	FALSE						
7.625	31308	NA	FALSE						
7.65	62061	NA	TRUE						
7.675	102416	NA	TRUE						
7.7	45618	NA	FALSE						
7.725	27352	NA	FALSE						
7.75	52429	NA	FALSE						
7.775	23972	NA	FALSE						
7.8	21212	NA	FALSE						
7.825	33101	NA	FALSE						
7.85	33041	NA	FALSE						
7.875	27344	NA	FALSE						
7.9	35967	NA	FALSE						
7.925	74857	NA	TRUE						
7.95	106409	NA	TRUE						
7.975	227327	NA	TRUE						
8	536607	NA	TRUE						
8.025	318716	NA	TRUE						
8.05	146368	NA	TRUE						
8.075	83543	NA	TRUE						
8.1	45848	NA	FALSE						
8.125	26567	NA	FALSE						
8.15	27744	NA	FALSE						
8.175	29267	NA	FALSE						
8.2	25320	NA	FALSE						
8.225	20837	NA	FALSE						
8.25	48677	NA	FALSE						
8.275	29326	NA	FALSE						
8.3	33709	NA	FALSE						
8.325	93111	NA	TRUE						
8.35	84383	NA	TRUE						
8.375	35093	NA	FALSE						
8.4	30541	NA	FALSE						
8.425	35960	NA	FALSE						
8.45	47097	NA	FALSE						
8.475	91291	NA	TRUE						
8.5	402595	NA	TRUE						
8.525	184980	NA	TRUE						
8.55	60801	NA	TRUE						
8.575	40140	NA	FALSE						
8.6	34586	NA	FALSE						
8.625	30472	NA	FALSE						
8.65	61636	NA	TRUE						
8.675	117916	NA	TRUE						
8.7	41267	NA	FALSE						
8.725	27132	NA	FALSE						
8.75	51416	NA	FALSE						
8.775	25084	NA	FALSE						
8.8	23280	NA	FALSE						
8.825	29709	NA	FALSE						
8.85	31171	NA	FALSE						
8.875	26536	NA	FALSE						
8.9	39144	NA	FALSE						
8.925	60596	NA	TRUE						
8.95	119567	NA	TRUE						
8.975	241293	NA	TRUE						
9	669003	NA	TRUE						
9.025	332474	NA	TRUE						
9.05	150345	NA	TRUE						
9.075	82434	NA	TRUE						
9.1	43701	NA	FALSE						
9.125	27828	NA	FALSE						
9.15	31148	NA	FALSE						
9.175	31523	NA	FALSE						
9.2	26646	NA	FALSE						
9.225	20887	NA	FALSE						
9.25	47705	NA	FALSE						
9.275	29394	NA	FALSE						
9.3	32993	NA	FALSE						
9.325	100738	NA	TRUE						
9.35	84300	NA	TRUE						
9.375	32572	NA	FALSE						
9.4	30197	NA	FALSE						
9.425	35128	NA	FALSE						
9.45	50362	NA	FALSE						
9.475	96243	NA	TRUE						
9.5	364582	NA	TRUE						
9.525	172637	NA	TRUE						
9.55	66686	NA	TRUE						
9.575	40536	NA	FALSE						
9.6	32891	NA	FALSE						
9.625	29865	NA	FALSE						
9.65	60815	NA	TRUE						
9.675	118383	NA	TRUE						
9.7	38248	NA	FALSE						
9.725	26799	NA	FALSE						
9.75	48222	NA	FALSE						
9.775	25257	NA	FALSE						
9.8	21732	NA	FALSE						
9.825	26554	NA	FALSE						
9.85	29301	NA	FALSE						
9.875	25554	NA	FALSE						
9.9	36139	NA	FALSE						
9.925	63287	NA	TRUE						
9.95	117722	NA	TRUE						
9.975	303390	NA	TRUE						
10	493935	NA	TRUE						
10.025	330417	NA	TRUE						
10.05	181517	NA	TRUE						
10.075	84983	NA	TRUE						
10.1	46034	NA	FALSE						
10.125	25420	NA	FALSE						
10.15	26294	NA	FALSE						
10.175	35425	NA	FALSE						
10.2	24197	NA	FALSE						
10.225	20109	NA	FALSE						
10.25	50442	NA	FALSE						
10.275	29234	NA	FALSE						
10.3	34657	NA	FALSE						
10.325	84679	NA	TRUE						
10.35	83798	NA	TRUE						
10.375	31847	NA	FALSE						
10.4	28914	NA	FALSE						
10.425	35162	NA	FALSE						
10.45	49256	NA	FALSE						
10.475	95824	NA	TRUE						
10.5	224478	NA	TRUE						
10.525	138360	NA	TRUE						
10.55	68957	NA	TRUE						
10.575	38602	NA	FALSE						
10.6	31698	NA	FALSE						
10.625	28491	NA	FALSE						
10.65	56721	NA	FALSE						
10.675	103335	NA	TRUE						
10.7	40929	NA	FALSE						
10.725	26344	NA	FALSE						
10.75	56124	NA	FALSE						
10.775	24284	NA	FALSE						
10.8	20597	NA	FALSE						
10.825	26487	NA	FALSE						
10.85	31535	NA	FALSE						
10.875	24919	NA	FALSE						
10.9	32534	NA	FALSE						
10.925	64012	NA	TRUE						
10.95	113279	NA	TRUE						
10.975	243597	NA	TRUE						
11	396464	NA	TRUE						
11.025	297932	NA	TRUE						
11.05	168338	NA	TRUE						
11.075	83192	NA	TRUE						
11.1	41603	NA	FALSE						
11.125	24579	NA	FALSE						
11.15	26665	NA	FALSE						
11.175	32532	NA	FALSE						
11.2	24416	NA	FALSE						
11.225	19548	NA	FALSE						
11.25	55613	NA	FALSE						
11.275	29528	NA	FALSE						
11.3	31323	NA	FALSE						
11.325	73172	NA	TRUE						
11.35	91735	NA	TRUE						
11.375	32983	NA	FALSE						
11.4	27632	NA	FALSE						
11.425	34433	NA	FALSE						
11.45	50736	NA	FALSE						
11.475	91741	NA	TRUE						
11.5	181422	NA	TRUE						
11.525	122361	NA	TRUE						
11.55	64416	NA	TRUE						
11.575	38585	NA	FALSE						
11.6	31311	NA	FALSE						
11.625	28280	NA	FALSE						
11.65	54621	NA	FALSE						
11.675	111939	NA	TRUE						
11.7	40952	NA	FALSE						
11.725	25937	NA	FALSE						
11.75	50289	NA	FALSE						
11.775	26621	NA	FALSE						
11.8	19691	NA	FALSE						
11.825	25987	NA	FALSE						
11.85	30955	NA	FALSE						
11.875	32046	NA	FALSE						
11.9	34419	NA	FALSE						
11.925	63401	NA	TRUE						
11.95	114466	NA	TRUE						
11.975	271523	NA	TRUE						
12	466051	NA	TRUE						
12.025	376451	NA	TRUE						
12.05	140091	NA	TRUE						
12.075	89440	NA	TRUE						
12.1	44889	NA	FALSE						
12.125	24585	NA	FALSE						
12.15	25531	NA	FALSE						
12.175	30336	NA	FALSE						
12.2	23964	NA	FALSE						
12.225	19422	NA	FALSE						
12.25	42946	NA	FALSE						
12.275	29816	NA	FALSE						
12.3	31148	NA	FALSE						
12.325	71715	NA	TRUE						
12.35	94531	NA	TRUE						
12.375	33190	NA	FALSE						
12.4	28222	NA	FALSE						
12.425	33316	NA	FALSE						
12.45	49026	NA	FALSE						
12.475	88563	NA	TRUE						
12.5	196447	NA	TRUE						
12.525	123152	NA	TRUE						
12.55	61779	NA	TRUE						
12.575	37563	NA	FALSE						
12.6	31345	NA	FALSE						
12.625	27754	NA	FALSE						
12.65	52326	NA	FALSE						
12.675	108338	NA	TRUE						
12.7	41585	NA	FALSE						
12.725	26089	NA	FALSE						
12.75	41507	NA	FALSE						
12.775	23598	NA	FALSE						
12.8	20242	NA	FALSE						
12.825	27513	NA	FALSE						
12.85	30679	NA	FALSE						
12.875	25181	NA	FALSE						
12.9	31738	NA	FALSE						
12.925	63597	NA	TRUE						
12.95	136519	NA	TRUE						
12.975	202268	NA	TRUE						
13	449913	NA	TRUE						
13.025	305013	NA	TRUE						
13.05	156241	NA	TRUE						
13.075	75864	NA	TRUE						
13.1	52425	NA	FALSE						
13.125	27956	NA	FALSE						
13.15	27042	NA	FALSE						
13.175	32836	NA	FALSE						
13.2	24273	NA	FALSE						
13.225	18821	NA	FALSE						
