Gap	Count
0.0	90193
364.025	33391
356.025	34947
332.025	36702
324.025	39673
348.025	34591
340.025	34285
300.025	46496
292.025	51607
308.025	42130
316.025	39973
260.025	70343
268.025	64028
284.025	52608
276.025	58072
8.125	76102
8.375	99913
8.875	76491
8.625	87902
9.375	90466
9.125	80680
9.875	72476
9.625	85059
10.375	87887
10.125	75138
10.875	73199
10.625	80295
11.125	71392
11.375	91175
11.875	99131
11.625	80990
12.375	91184
12.125	70341
12.875	71144
12.625	79906
13.125	81859
13.375	87551
13.875	72274
13.625	79444
14.375	94202
14.125	72302
14.875	72677
14.625	77294
15.125	74989
15.375	97546
15.625	79639
15.875	74670
16.25	117271
16.75	110854
17.75	118955
17.25	107828
18.25	104772
18.75	103124
19.75	93548
19.25	88765
20.25	91664
20.75	95580
21.25	90608
21.75	97276
22.75	89695
22.25	91846
23.25	80445
23.75	83277
24.25	80863
24.75	86531
25.25	83842
25.75	81449
26.75	79851
26.25	79638
27.75	81083
27.25	76326
28.75	89279
28.25	83269
29.75	82824
29.25	82393
30.25	68869
30.75	71653
31.25	66814
31.75	73081
33.5	360308
32.5	483994
35.5	309756
34.5	329149
37.5	307953
36.5	314479
39.5	290078
38.5	285582
41.5	286429
40.5	304415
43.5	290617
42.5	289684
44.5	280687
45.5	278462
47.5	243551
46.5	266260
48.5	256000
49.5	255959
50.5	281988
51.5	257387
53.5	249286
52.5	257075
55.5	219763
54.5	235661
56.5	222853
57.5	243790
58.5	249671
59.5	219544
61.5	206619
60.5	206494
63.5	194693
62.5	197428
67.0	459329
65.0	534501
71.0	485748
69.0	379592
75.0	393814
73.0	394901
77.0	384629
79.0	416537
83.0	415190
81.0	343015
87.0	387402
85.0	312312
89.0	345590
91.0	360722
95.0	312423
93.0	301921
97.0	269335
99.0	323447
103.0	318307
101.0	330491
107.0	269402
105.0	274553
109.0	232168
111.0	253324
113.0	265373
115.0	271257
119.0	259285
117.0	234024
123.0	226034
121.0	200493
125.0	223576
127.0	220041
134.0	188541
130.0	224548
138.0	201130
142.0	185994
146.0	167163
150.0	163461
158.0	151847
154.0	160669
166.0	140232
162.0	150649
174.0	128488
170.0	134884
178.0	121687
182.0	107177
186.0	114168
190.0	113648
198.0	91610
194.0	101769
206.0	88705
202.0	88625
210.0	78900
214.0	73504
218.0	69748
222.0	72783
230.0	60619
226.0	65963
234.0	58829
238.0	56551
246.0	51598
242.0	55791
254.0	49388
250.0	50247
260.0	48690
268.0	46437
276.0	46864
284.0	42489
292.0	44785
300.0	41279
316.0	40841
308.0	40974
332.0	42026
324.0	41713
340.0	40128
348.0	39175
356.0	39704
364.0	37831
238.025	96984
234.025	103331
226.025	108741
230.025	110717
254.025	77368
250.025	81491
246.025	89782
242.025	95406
206.025	153052
202.025	150957
194.025	161269
198.025	156821
218.025	136267
222.025	125832
210.025	138085
214.025	127717
174.025	202327
170.025	233896
166.025	210745
162.025	246231
190.025	167778
186.025	178191
182.025	199065
178.025	188851
142.025	297079
138.025	287477
130.025	343297
134.025	326781
158.025	270522
154.025	255176
150.025	252204
146.025	308795
340.05	46244
348.05	42439
332.05	50052
324.05	53727
356.05	40432
364.05	35702
276.05	104266
284.05	92489
260.05	124938
268.05	112552
308.05	69248
316.05	59913
300.05	72893
292.05	85239
308.075	124554
316.075	111551
292.075	149411
300.075	132488
284.075	169291
276.075	203952
268.075	203789
260.075	249883
356.075	66880
364.075	60764
340.075	79218
348.075	74546
324.075	102305
332.075	88915
105.025	482500
107.025	476711
111.025	642692
109.025	516439
99.025	654446
97.025	617086
103.025	490760
101.025	531728
123.025	377486
121.025	407156
127.025	367297
125.025	345473
113.025	434201
115.025	619821
117.025	423005
119.025	432064
73.025	989711
75.025	716574
79.025	740405
77.025	616086
67.025	817991
65.025	868908
71.025	1065973
69.025	907600
91.025	539705
89.025	608232
95.025	517001
93.025	592786
83.025	818884
81.025	1134781
87.025	851769
85.025	750881
292.1	268621
300.1	244159
316.1	220979
308.1	210801
260.1	362722
268.1	312945
