Gap	Count	Annotation
8	536607	NA
8.025	318716	NA
8.05	146368	NA
8.075	83543	NA
8.1	45848	NA
8.125	26567	NA
8.15	27744	NA
8.175	29267	NA
8.2	25320	NA
8.225	20837	NA
8.25	48677	NA
8.275	29326	NA
8.3	33709	NA
8.325	93111	NA
8.35	84383	NA
8.375	35093	NA
8.4	30541	NA
8.425	35960	NA
8.45	47097	NA
8.475	91291	NA
8.5	402595	NA
8.525	184980	NA
8.55	60801	NA
8.575	40140	NA
8.6	34586	NA
8.625	30472	NA
8.65	61636	NA
8.675	117916	NA
8.7	41267	NA
8.725	27132	NA
8.75	51416	NA
8.775	25084	NA
8.8	23280	NA
8.825	29709	NA
8.85	31171	NA
8.875	26536	NA
8.9	39144	NA
8.925	60596	NA
8.95	119567	NA
8.975	241293	NA
9	669003	NA
9.025	332474	NA
9.05	150345	NA
9.075	82434	NA
9.1	43701	NA
9.125	27828	NA
9.15	31148	NA
9.175	31523	NA
9.2	26646	NA
9.225	20887	NA
9.25	47705	NA
9.275	29394	NA
9.3	32993	NA
9.325	100738	NA
9.35	84300	NA
9.375	32572	NA
9.4	30197	NA
9.425	35128	NA
9.45	50362	NA
9.475	96243	NA
9.5	364582	NA
9.525	172637	NA
9.55	66686	NA
9.575	40536	NA
9.6	32891	NA
9.625	29865	NA
9.65	60815	NA
9.675	118383	NA
9.7	38248	NA
9.725	26799	NA
9.75	48222	AA-NLoss: G,CS 4
9.775	25257	NA
9.8	21732	NA
9.825	26554	NA
9.85	29301	NA
9.875	25554	NA
9.9	36139	NA
9.925	63287	NA
9.95	117722	NA
9.975	303390	NA
10	493935	AA G,CS 4
10.025	330417	NA
10.05	181517	NA
10.075	84983	NA
10.1	46034	NA
10.125	25420	NA
10.15	26294	NA
10.175	35425	NA
10.2	24197	NA
10.225	20109	NA
10.25	50442	NA
10.275	29234	NA
10.3	34657	NA
10.325	84679	NA
10.35	83798	NA
10.375	31847	NA
10.4	28914	NA
10.425	35162	NA
10.45	49256	NA
10.475	95824	NA
10.5	224478	NA
10.525	138360	NA
10.55	68957	NA
10.575	38602	NA
10.6	31698	NA
10.625	28491	NA
10.65	56721	NA
10.675	103335	NA
10.7	40929	NA
10.725	26344	NA
10.75	56124	NA
10.775	24284	NA
10.8	20597	NA
10.825	26487	NA
10.85	31535	NA
10.875	24919	NA
10.9	32534	NA
10.925	64012	NA
10.95	113279	NA
10.975	243597	NA
11	396464	NA
11.025	297932	NA
11.05	168338	NA
11.075	83192	NA
11.1	41603	NA
11.125	24579	NA
11.15	26665	NA
11.175	32532	NA
11.2	24416	NA
11.225	19548	NA
11.25	55613	NA
11.275	29528	NA
11.3	31323	NA
11.325	73172	NA
11.35	91735	NA
11.375	32983	NA
11.4	27632	NA
11.425	34433	NA
11.45	50736	NA
11.475	91741	NA
11.5	181422	NA
11.525	122361	NA
11.55	64416	NA
11.575	38585	NA
11.6	31311	NA
11.625	28280	NA
11.65	54621	NA
11.675	111939	NA
11.7	40952	NA
11.725	25937	NA
11.75	50289	NA
11.775	26621	NA
11.8	19691	NA
11.825	25987	NA
11.85	30955	NA
11.875	32046	NA
11.9	34419	NA
11.925	63401	NA
11.95	114466	NA
11.975	271523	NA
12	466051	NA
12.025	376451	NA
12.05	140091	NA
12.075	89440	NA
12.1	44889	NA
12.125	24585	NA
12.15	25531	NA
12.175	30336	NA
12.2	23964	NA
12.225	19422	NA
12.25	42946	NA
12.275	29816	NA
12.3	31148	NA
12.325	71715	NA
12.35	94531	NA
12.375	33190	NA
12.4	28222	NA
12.425	33316	NA
12.45	49026	NA
12.475	88563	NA
12.5	196447	NA
12.525	123152	NA
12.55	61779	NA
12.575	37563	NA
12.6	31345	NA
12.625	27754	NA
12.65	52326	NA
12.675	108338	NA
12.7	41585	NA
12.725	26089	NA
12.75	41507	NA
12.775	23598	NA
12.8	20242	NA
12.825	27513	NA
12.85	30679	NA
12.875	25181	NA
12.9	31738	NA
12.925	63597	NA
12.95	136519	NA
12.975	202268	NA
13	449913	AA-NLoss: G,CS 3
13.025	305013	NA
13.05	156241	NA
13.075	75864	NA
13.1	52425	NA
13.125	27956	NA
13.15	27042	NA
13.175	32836	NA
13.2	24273	NA
13.225	18821	NA
13.25	41800	AA-NLoss: A,CS 4
13.275	29421	NA
13.3	30694	NA
13.325	76557	NA
13.35	92458	NA
13.375	32354	NA
13.4	27709	NA
13.425	31934	NA
13.45	47958	NA
13.475	84913	NA
13.5	246493	AA A,CS 4
13.525	119544	NA
13.55	58173	NA
13.575	36952	NA
13.6	32723	NA
13.625	27516	NA
13.65	51207	NA
13.675	116083	NA
13.7	41098	NA
13.725	24481	NA
13.75	42759	NA
13.775	25948	NA
13.8	21920	NA
13.825	26154	NA
13.85	33472	NA
13.875	24985	NA
