Gap	Count
95.05	493003
91.05	494584
89.05	520446
87.05	476830
85.05	562969
83.05	514695
81.05	553248
109.05	520500
111.05	443284
105.05	481459
107.05	520627
101.05	805506
103.05	518256
99.05	531356
97.05	577685
127.05	447409
125.05	458970
121.05	455781
123.05	403883
119.05	432802
117.05	461339
113.05	554849
115.05	495925
38.525	253129
39.525	280571
36.525	299214
37.525	271461
34.525	314017
35.525	362427
32.525	263375
33.525	264776
47.525	296086
46.525	267595
44.525	292703
45.525	250888
42.525	299416
43.525	341803
40.525	331069
41.525	347987
55.525	336932
54.525	270706
53.525	265274
52.525	258910
50.525	383624
51.525	293958
49.525	424419
48.525	338653
62.525	250342
63.525	328122
61.525	258952
60.525	298147
58.525	301761
59.525	323588
56.525	333078
57.525	345029
300.225	85259
292.225	72387
308.225	89166
316.225	96041
268.225	60351
260.225	50720
284.225	68923
276.225	64487
364.225	149641
356.225	144701
324.225	134075
332.225	112658
340.225	148238
348.225	128404
356.275	45325
364.275	46246
324.275	35447
332.275	35736
340.275	37201
348.275	39796
300.275	29381
292.275	29500
316.275	29994
308.275	31802
268.275	30057
260.275	30919
284.275	29747
276.275	29622
134.125	137529
130.125	151332
142.125	163459
138.125	156695
146.125	159481
150.125	171068
154.125	174894
158.125	192840
162.125	195219
166.125	203295
174.125	217697
170.125	236089
182.125	243731
178.125	233833
186.125	255944
190.125	248647
194.125	262292
198.125	294845
202.125	288136
206.125	271272
214.125	400451
210.125	292464
218.125	310130
222.125	351992
226.125	353026
230.125	322251
238.125	325320
234.125	314537
246.125	344380
242.125	384141
254.125	313777
250.125	312135
268.25	34167
260.25	33455
276.25	35876
284.25	38459
292.25	41072
300.25	44519
316.25	50905
308.25	48101
324.25	60486
332.25	60349
340.25	86205
348.25	74343
356.25	87252
364.25	91827
117.075	409715
119.075	423307
115.075	472423
113.075	998056
127.075	461978
125.075	410712
121.075	465464
123.075	425168
101.075	369905
103.075	357817
99.075	679795
97.075	331839
111.075	436417
109.075	357413
107.075	383421
105.075	348155
87.075	334729
85.075	279129
83.075	367306
81.075	276661
93.075	300347
95.075	395491
91.075	327078
89.075	318032
69.075	251503
71.075	317892
65.075	246897
67.075	262493
79.075	285545
77.075	286500
73.075	237143
75.075	305908
238.15	227868
234.15	222358
230.15	229406
226.15	203824
250.15	278020
254.15	269844
246.15	247709
242.15	349397
206.15	170447
202.15	172806
194.15	161516
198.15	178718
222.15	202175
218.15	201761
214.15	207055
210.15	208201
174.15	124267
170.15	133442
162.15	118698
166.15	116719
190.15	147444
186.15	144791
178.15	122278
182.15	152219
142.15	90547
138.15	89298
134.15	87552
130.15	79275
154.15	105699
158.15	121865
146.15	104626
150.15	99028
340.3	28262
348.3	26034
324.3	27826
332.3	26605
356.3	27582
364.3	28481
276.3	31700
284.3	32882
260.3	31031
268.3	34889
308.3	30345
316.3	27980
292.3	31715
300.3	31459
316.325	29156
308.325	27933
292.325	25442
300.325	27533
284.325	24573
276.325	25008
268.325	23809
260.325	23944
364.325	26599
356.325	26396
348.325	28697
340.325	28514
324.325	28553
332.325	29285
292.35	20429
300.35	19153
316.35	21396
308.35	19564
260.35	23805
268.35	22610
276.35	21917
284.35	20876
356.35	23521
364.35	24504
324.35	21550
332.35	20959
348.35	22317
340.35	20854
214.175	109996
210.175	110446
222.175	114215
218.175	110574
194.175	86760
198.175	108880
202.175	102393
206.175	101037
242.175	159010
246.175	154626
250.175	152690
254.175	174515
230.175	151613
226.175	229756
234.175	130567
238.175	144099
146.175	55135
150.175	60487
154.175	60454
158.175	60968
134.175	48334
130.175	47072
142.175	52577
138.175	48808
178.175	81562
182.175	93122
186.175	85439
190.175	89130
166.175	69156
162.175	67795
174.175	70947
170.175	67011
178.2	45819
182.2	44390
190.2	46331
186.2	45074
166.2	39735
162.2	42604
170.2	41440
174.2	43102
150.2	38498
146.2	39136
158.2	38802
154.2	37601
130.2	36555
134.2	37927
142.2	37875
138.2	37884
242.2	87702
246.2	82767
254.2	93112
250.2	86557
230.2	68971
226.2	69039
238.2	78197
234.2	73281
210.2	55600
214.2	62988
218.2	61590
222.2	74471
194.2	49530
198.2	49199
202.2	54228
206.2	56172
364.4	16787
356.4	18823
324.4	21393
332.4	20308
340.4	19785
348.4	18627
292.4	26266
300.4	27175
316.4	22488
308.4	23794
268.4	29358
260.4	28391
276.4	28263
284.4	28046
45.55	143285
44.55	150314
46.55	146942
47.55	182148
40.55	160840
41.55	193605
43.55	160288
42.55	195675
36.55	135686
37.55	133914
38.55	137715
39.55	137011
33.55	136445
32.55	128002
34.55	136225
35.55	138818
61.55	190248
60.55	194342
62.55	206191
63.55	210446
57.55	280686
56.55	447222
58.55	219379
59.55	204961
52.55	168766
53.55	162192
55.55	247459
54.55	180235
49.55	208290
48.55	184872
51.55	187821
50.55	207838
89.1	160768
91.1	194849
93.1	158803
95.1	189205
83.1	166915
81.1	156299
87.1	169957
85.1	255004
73.1	153081
75.1	144513
79.1	156382
77.1	136042
65.1	120431
67.1	136424
69.1	152934
71.1	131252
121.1	234973
123.1	248410
127.1	276134
125.1	220791
113.1	265789
115.1	266079
117.1	236977
119.1	217075
105.1	189280
107.1	204370
109.1	223546
111.1	231628
97.1	248235
99.1	195402
101.1	183839
103.1	222999
22.275	54168
22.775	45671
23.275	51525
23.775	50591
20.275	56974
20.775	52885
21.775	48841
21.275	56296
18.275	56497
18.775	52474
19.275	54869
19.775	51576
16.275	56165
16.775	52000
17.275	60651
17.775	56031
30.275	55333
30.775	48825
31.275	54837
31.775	55130
28.275	71276
28.775	58497
29.275	58445
29.775	51293
26.775	47336
26.275	54461
27.775	56023
27.275	55245
24.275	59078
24.775	56723
25.275	62143
25.775	51448
268.375	26986
260.375	27615
284.375	24905
276.375	26064
292.375	22327
300.375	22225
308.375	20497
316.375	20696
324.375	20311
332.375	16876
348.375	15791
340.375	17548
364.375	17275
356.375	17417
340.425	24159
348.425	23822
324.425	27242
332.425	25073
364.425	21594
356.425	23132
284.425	45267
276.425	35681
268.425	35925
260.425	37121
308.425	26744
316.425	26052
300.425	27208
292.425	32058
316.45	33955
308.45	37986
292.45	42747
300.45	39746
284.45	49449
276.45	50533
260.45	55773
268.45	51455
364.45	25989
356.45	26031
348.45	27881
340.45	29077
332.45	36131
324.45	41956
158.225	43500
154.225	43369
146.225	44755
150.225	45108
142.225	44424
138.225	42503
134.225	43905
130.225	44772
190.225	35966
186.225	37466
182.225	37078
178.225	39636
170.225	38744
174.225	39346
166.225	39989
162.225	41973
218.225	37968
222.225	41194
214.225	36057
210.225	36207
206.225	34370
202.225	35859
198.225	33855
194.225	35709
250.225	46387
254.225	47982
242.225	45069
246.225	45108
238.225	44521
234.225	42148
230.225	39287
226.225	39556
300.475	55679
292.475	57938
308.475	53859
316.475	52903
260.475	51050
268.475	55250
276.475	55120
284.475	55390
364.475	34321
356.475	36825
324.475	48886
332.475	48446
348.475	39400
340.475	43962
364.525	40272
356.525	39695
324.525	35031
332.525	35152
348.525	36989
340.525	35861
292.525	30166
300.525	35191
316.525	34583
308.525	32057
260.525	32479
268.525	30519
276.525	32523
284.525	29874
65.125	75813
67.125	77277
69.125	83102
71.125	76761
75.125	80079
73.125	86750
79.125	88961
77.125	85729
81.125	91484
83.125	84791
87.125	86611
85.125	88484
91.125	90956
89.125	105542
93.125	97586
95.125	93440
97.125	101720
99.125	96313
101.125	120250
103.125	104538
107.125	105421
105.125	108438
111.125	110993
109.125	109285
115.125	113655
113.125	128230
119.125	117739
117.125	130325
123.125	125757
121.125	127232
125.125	161190
127.125	132562
134.25	40414
130.25	41764
138.25	41969
142.25	45134
150.25	44560
146.25	44848
158.25	46769
154.25	46790
162.25	49477
166.25	47721
174.25	50992
170.25	47348
182.25	44737
178.25	46539
186.25	44110
190.25	42190
198.25	39396
194.25	40582
206.25	37459
202.25	39559
214.25	35346
210.25	36371
218.25	34577
222.25	35616
230.25	32546
226.25	33688
238.25	33233
