Gap	Count
0.0	74849
364.025	30585
356.025	32274
332.025	33495
324.025	36322
348.025	31630
340.025	31075
300.025	42253
292.025	46285
308.025	38021
316.025	36228
260.025	64084
268.025	58276
284.025	47743
276.025	52299
8.125	68805
8.375	88843
8.875	68171
8.625	76171
9.375	80367
9.125	73154
9.875	64843
9.625	73828
10.375	78408
10.125	67555
10.875	65199
10.625	70065
11.125	64229
11.375	81066
11.875	85311
11.625	71142
12.375	81052
12.125	63405
12.875	63936
12.625	70323
13.125	72204
13.375	78130
13.875	64564
13.625	69909
14.375	84187
14.125	65514
14.875	65134
14.625	68420
15.125	67757
15.375	87651
15.625	69893
15.875	67201
16.25	100931
16.75	95681
17.75	101288
17.25	91468
18.25	88366
18.75	87899
19.75	79941
19.25	75237
20.25	78139
20.75	81813
21.25	76287
21.75	80617
22.75	74241
22.25	74788
23.25	67051
23.75	72026
24.25	69809
24.75	75436
25.25	72329
25.75	70639
26.75	68579
26.25	68046
27.75	70573
27.25	65407
28.75	79372
28.25	72813
29.75	73105
29.25	72008
30.25	60193
30.75	62856
31.25	58127
31.75	63732
33.5	336504
32.5	454957
35.5	287141
34.5	306768
37.5	284302
36.5	290744
39.5	269827
38.5	264260
41.5	268492
40.5	284005
43.5	269802
42.5	270593
44.5	259076
45.5	258767
47.5	228486
46.5	248436
48.5	239762
49.5	238597
50.5	262000
51.5	238651
53.5	231959
52.5	238254
55.5	206210
54.5	220350
56.5	209143
57.5	228252
58.5	233153
59.5	205627
61.5	193996
60.5	193933
63.5	183062
62.5	185537
67.0	438185
65.0	509637
71.0	462496
69.0	360910
75.0	374185
73.0	372224
77.0	366129
79.0	392648
83.0	394972
81.0	321667
87.0	369686
85.0	296108
89.0	328249
91.0	344056
95.0	297372
93.0	284490
97.0	254451
99.0	306441
103.0	302589
101.0	314355
107.0	256247
105.0	259325
109.0	219525
111.0	239714
113.0	251953
115.0	258618
119.0	245646
117.0	221559
123.0	213939
121.0	188132
125.0	211506
127.0	207100
134.0	176987
130.0	211032
138.0	188011
142.0	174920
146.0	156723
150.0	152735
158.0	141927
154.0	149641
166.0	130541
162.0	140865
174.0	119922
170.0	125973
178.0	113843
182.0	99299
186.0	105575
190.0	105475
198.0	84490
194.0	94236
206.0	81472
202.0	82186
210.0	72736
214.0	67477
218.0	64092
222.0	65908
230.0	54831
226.0	59835
234.0	53053
238.0	50655
246.0	46512
242.0	50177
254.0	44329
250.0	45321
260.0	43807
268.0	41916
276.0	42482
284.0	38800
292.0	40110
300.0	37706
316.0	37590
308.0	37691
332.0	38870
324.0	38192
340.0	37250
348.0	35922
356.0	36646
364.0	34356
238.025	89925
234.025	95773
226.025	100704
230.025	102582
254.025	70836
250.025	75119
246.025	82879
242.025	87795
206.025	144025
202.025	141524
194.025	151823
198.025	148026
218.025	127509
222.025	116540
210.025	127196
214.025	119186
174.025	190144
170.025	221832
166.025	198398
162.025	230799
190.025	157417
186.025	167850
182.025	188096
178.025	177563
142.025	282201
138.025	273139
130.025	325331
134.025	310298
158.025	257167
154.025	241069
150.025	238323
146.025	293239
340.05	41917
348.05	38244
332.05	45766
324.05	49040
356.05	36031
364.05	31641
276.05	96869
284.05	85070
260.05	116559
268.05	104581
308.05	63410
316.05	54689
300.05	66527
292.05	77675
308.075	116394
316.075	104136
292.075	140963
300.075	124069
284.075	159180
276.075	191832
268.075	192544
260.075	236486
356.075	60870
364.075	54372
340.075	73018
348.075	68558
324.075	94759
332.075	82820
105.025	461628
107.025	449697
111.025	613356
109.025	487438
99.025	626534
97.025	588625
103.025	463390
101.025	498850
123.025	360287
121.025	387680
127.025	349693
