Gap	Count
40.9	10443609
41	52076535
41.1	16422148
41.2	9145398
41.3	11592477
41.4	11718077
41.5	26171069
41.6	10604620
41.7	12882974
41.8	9580024
41.9	10548530
42	56155957
42.1	16215037
42.2	9196205
42.3	11386499
42.4	11982482
42.5	25731333
42.6	10576210
42.7	13374197
42.8	9489731
42.9	10359424
43	53450329
43.1	15921017
43.2	8773502
43.3	10954969
43.4	12197535
43.5	25126955
43.6	10632915
43.7	13261252
43.8	9004073
43.9	10048808
44	53274707
44.1	16699481
44.2	8989727
44.3	10497096
44.4	11776923
44.5	23768883
44.6	10808027
44.7	12158388
44.8	8945844
44.9	10224228
45	48399004
45.1	16753138
45.2	8897600
45.3	10260356
45.4	11564218
45.5	22745713
45.6	10620186
45.7	12523089
45.8	8764989
45.9	10232688
46	48225871
46.1	16464125
46.2	8688402
46.3	10260662
46.4	11715553
46.5	22626026
46.6	10620857
46.7	12582931
46.8	8740678
46.9	10170750
47	45008811
47.1	16740186
47.2	8880460
47.3	10437734
47.4	11704220
47.5	23170446
47.6	10630528
47.7	13113588
47.8	8447802
47.9	10065664
48	47465438
48.1	16724776
48.2	8724371
48.3	10551729
48.4	11900966
48.5	24189260
48.6	10591686
48.7	13295505
48.8	8573505
48.9	9800026
49	45112583
49.1	18183238
49.2	8583735
49.3	10299620
49.4	12064675
49.5	25845934
49.6	11033246
49.7	12368595
49.8	8838230
49.9	10219450
50	47546545
50.1	16935437
50.2	8717306
50.3	10050901
50.4	11516605
50.5	25767890
50.6	10830374
50.7	11960303
50.8	8715690
50.9	9754387
51	43592810
51.1	16403777
51.2	8909689
51.3	9764284
51.4	11403651
51.5	23377765
51.6	11080744
51.7	12207340
51.8	8394279
51.9	9819793
52	44180441
52.1	18099077
52.2	8819495
52.3	9981129
52.4	12175431
52.5	22476414
52.6	10992514
52.7	13771036
52.8	8415863
52.9	10027317
53	45113430
53.1	17610192
53.2	8708412
53.3	11055278
53.4	13094477
53.5	22257751
53.6	11034384
53.7	15950539
53.8	8624652
53.9	10314799
54	49448167
54.1	18114977
54.2	9276585
54.3	10753650
54.4	14344339
54.5	22259618
54.6	11194087
54.7	15426938
54.8	8635424
54.9	9925671
55	47327992
55.1	18809009
55.2	8984823
55.3	10228834
55.4	12868660
55.5	24794496
55.6	11259411
55.7	13186759
55.8	8696842
55.9	9836734
56	48968284
56.1	20567136
56.2	8405051
56.3	9467435
56.4	12087013
56.5	26901697
56.6	11242581
56.7	12449846
56.8	8238433
56.9	9679269
57	51421583
57.1	19104444
57.2	8322350
57.3	9185803
57.4	11476987
57.5	25180502
57.6	11148302
57.7	11789160
57.8	8114513
57.9	9391648
58	47778566
58.1	18519707
58.2	8191529
58.3	9001693
58.4	11284413
58.5	23607032
58.6	11191837
58.7	11796074
58.8	8133104
58.9	9440119
59	46801416
59.1	18625193
59.2	8302627
59.3	9116233
59.4	11451133
59.5	23551306
59.6	11426813
59.7	12260833
59.8	8253532
59.9	9666674
60	46261534
60.1	19233340
60.2	8379389
60.3	9108782
60.4	11857663
60.5	22463140
60.6	11884568
60.7	12472138
60.8	8214824
60.9	9456399
61	42133516
61.1	20028783
61.2	8413430
61.3	8976690
61.4	11899034
61.5	21475738
61.6	11842903
61.7	12123420
61.8	8469556
61.9	9425315
62	41762806
62.1	18700781
62.2	8116013
62.3	9179436
62.4	11433681
62.5	21284330
62.6	11968427
62.7	11648735
62.8	8211568
62.9	9079525
63	39913598
63.1	19060472
63.2	8248960
63.3	8889676
63.4	10918546
63.5	22858016
63.6	11808499
63.7	11194508
63.8	8260509
63.9	9408942
64	43840233
64.1	19312247
64.2	8285999
64.3	8911717
64.4	10925170
64.5	24277848
64.6	11986495
64.7	11253810
64.8	8124834
64.9	9139055
65	42250272
65.1	19120239
65.2	8176433
65.3	8608401
65.4	11212508
65.5	22914167
65.6	12134359
65.7	11599927
65.8	7905986
65.9	9130516
66	42340485
66.1	19422956
66.2	8249942
66.3	8512431
66.4	11947581
66.5	21143696
66.6	12269059
66.7	12590298
66.8	8089946
66.9	9123707
67	39934010
67.1	20167972
67.2	8299140
67.3	8535506
67.4	12709615
67.5	20484242
67.6	12127157
67.7	12637344
67.8	7944830
67.9	9191350
68	40320558
68.1	21251639
68.2	8272629
68.3	8610154
68.4	11853602
68.5	20904831
68.6	12206260
68.7	11626175
68.8	8062176
68.9	9033877
69	40221131
69.1	21568716
69.2	8128515
69.3	8400738
69.4	11041652
69.5	20405555
69.6	12560923
69.7	11188463
69.8	7787495
69.9	9102336
70	41131435
70.1	21973637
70.2	8116203
70.3	8408220
70.4	10944969
70.5	21317543
70.6	12299918
70.7	11269263
70.8	8078872
70.9	9308342
71	45548388
71.1	21282412
71.2	8392833
71.3	8432769
71.4	11657299
71.5	22556936
71.6	12564725
71.7	11600850
71.8	8164112
71.9	9348921
72	44300291
72.1	21231059
72.2	8451395
72.3	8241626
72.4	11255435
72.5	23354783
72.6	12303899
72.7	11429301
72.8	7752847
72.9	9146989
73	41617962
73.1	21745299
73.2	8128594
73.3	8090045
73.4	11228513
73.5	23225909
73.6	12408594
73.7	11469557
73.8	7645000
73.9	9269586
74	41229748
74.1	21331141
74.2	8262251
74.3	8053483
74.4	11245377
74.5	20438927
74.6	12849058
74.7	11319505
74.8	7785243
74.9	8777285
75	37420752
75.1	21541518
75.2	7962005
75.3	8285748
75.4	11032584
75.5	18889918
75.6	12962592
75.7	11309706
75.8	7837813
75.9	8922241
76	36311982
76.1	21697702
76.2	8045547
76.3	8206456
76.4	10937240
76.5	18790784
76.6	12995152
76.7	10980811
76.8	8079242
76.9	8681536
77	35166073
77.1	21417144
77.2	8160984
77.3	8294686
77.4	10640162
77.5	19358162
77.6	12937978
77.7	10841276
77.8	7693172
77.9	9032780
78	37378284
78.1	21954186
78.2	8223843
78.3	8064060
78.4	10670219
78.5	20746999
78.6	13374028
78.7	10876902
78.8	7668020
78.9	8802336
79	36903747
79.1	22232628
79.2	8019999
79.3	8027371
79.4	10721845
79.5	22635138
79.6	13349957
79.7	11259800
79.8	7816362
79.9	8997521
80	39963723
80.1	22862450
80.2	8094930
80.3	8392188
80.4	11292688
80.5	26067026
80.6	13454093
80.7	11607966
80.8	8102686
80.9	8858434
81	42629062
81.1	23693458
81.2	8132900
81.3	8563750
81.4	11256539
81.5	26210648
81.6	13756530
81.7	11403760
81.8	7974595
81.9	8935533
82	40051069
82.1	24197231
82.2	8017506
82.3	8153541
82.4	10974246
82.5	22209663
82.6	14089938
82.7	11245016
82.8	7795072
82.9	8959199
83	37813201
83.1	25150946
